Reconstruction Coord z;Map Coord z;Error z;;;;;
0,01647;0,423471;0,407001;;;;;
0,019947;0,426915;0,406967;;;;;
0,019947;0,426915;0,406967;;;;;
0,015868;0,422659;0,406791;;;;;
0,015868;0,422659;0,406791;;;;;
0,032933;0,439687;0,406754;;;;;
0,009989;0,416578;0,406588;;;;;
0,015922;0,422462;0,40654;;;;;
0,027724;0,43419;0,406467;;;;;
0,016189;0,422636;0,406447;;;;;
0,019168;0,425548;0,40638;;;;;
0,033816;0,440148;0,406331;;;;;
0,033816;0,440148;0,406331;;;;;
0,01716;0,423489;0,406329;;;;;
0,033707;0,439687;0,40598;;;;;
0,016781;0,422462;0,405681;;;;;
0,017249;0,422483;0,405233;;;;;
0,032512;0,43769;0,405177;;;;;
0,024072;0,428604;0,404532;;;;;
0,010583;0,415025;0,404442;;;;;
0,038215;0,442625;0,404409;;;;;
0,033771;0,438028;0,404257;;;;;
0,010853;0,415025;0,404172;;;;;
0,117709;0,521542;0,403833;;;;;
0,02893;0,432704;0,403775;;;;;
0,019387;0,422752;0,403365;;;;;
0,018324;0,421606;0,403282;;;;;
0,017847;0,420525;0,402678;;;;;
0,032981;0,435021;0,40204;;;;;
0,018834;0,420706;0,401872;;;;;
0,011383;0,412958;0,401575;;;;;
0,011383;0,412958;0,401575;;;;;
0,032383;0,433195;0,400812;;;;;
0,032383;0,433195;0,400812;;;;;
0,022463;0,423058;0,400595;;;;;
0,032923;0,433502;0,400578;;;;;
0,032923;0,433502;0,400578;;;;;
0,02275;0,423058;0,400308;;;;;
0,033691;0,433883;0,400192;;;;;
0,033639;0,433788;0,40015;;;;;
0,011028;0,411132;0,400104;;;;;
0,035512;0,435562;0,40005;;;;;
0,033674;0,433392;0,399718;;;;;
0,010178;0,409809;0,399631;;;;;
0,034016;0,433493;0,399477;;;;;
0,003066;0,402091;0,399025;;;;;
0,033501;0,432525;0,399024;;;;;
0,032453;0,431442;0,398989;;;;;
0,033678;0,432587;0,398909;;;;;
0,133725;0,53246;0,398735;;;;;
0,034;0,432663;0,398663;;;;;
0,033348;0,43194;0,398592;;;;;
0,032963;0,430861;0,397897;;;;;
0,016697;0,414015;0,397318;;;;;
0,031916;0,429033;0,397117;;;;;
0,017582;0,414015;0,396433;;;;;
0,018933;0,415304;0,396371;;;;;
0,032377;0,428046;0,395668;;;;;
0,046697;0,441427;0,39473;;;;;
0,08533;0,479931;0,394601;;;;;
0,033337;0,427733;0,394396;;;;;
0,012578;0,406906;0,394328;;;;;
0,012547;0,406458;0,393911;;;;;
0,031035;0,424928;0,393893;;;;;
0,028567;0,422259;0,393692;;;;;
0,033363;0,426815;0,393452;;;;;
0,031212;0,424194;0,392981;;;;;
0,002892;0,395702;0,392809;;;;;
0,031132;0,422841;0,391709;;;;;
0,01732;0,408917;0,391597;;;;;
0,00041;0,391136;0,390727;;;;;
0,014312;0,405038;0,390725;;;;;
0,033966;0,424397;0,390431;;;;;
0,01667;0,406906;0,390236;;;;;
0,000284;0,39037;0,390086;;;;;
0,016567;0,406458;0,389891;;;;;
0,000708;0,390547;0,389839;;;;;
0,001805;0,39115;0,389345;;;;;
0,001805;0,39115;0,389345;;;;;
0,024238;0,413517;0,389279;;;;;
0,032827;0,422095;0,389268;;;;;
0,032827;0,422095;0,389268;;;;;
0,032864;0,422131;0,389267;;;;;
0,032864;0,422131;0,389267;;;;;
0,02205;0,411184;0,389135;;;;;
0,0317;0,420525;0,388826;;;;;
0,032501;0,421313;0,388812;;;;;
0,032263;0,420795;0,388532;;;;;
0,002006;0,390361;0,388355;;;;;
0,043315;0,431663;0,388347;;;;;
0,030168;0,418476;0,388308;;;;;
0,000604;0,388877;0,388273;;;;;
0,030411;0,418136;0,387725;;;;;
0,034031;0,421606;0,387574;;;;;
0,012065;0,399286;0,387221;;;;;
0,000474;0,387687;0,387213;;;;;
0,000138;0,387333;0,387195;;;;;
0,018875;0,405264;0,386389;;;;;
0,000551;0,386807;0,386256;;;;;
0,019617;0,405842;0,386225;;;;;
0,002965;0,389154;0,386189;;;;;
0,031403;0,417517;0,386115;;;;;
0,002477;0,388212;0,385735;;;;;
0,000322;0,385665;0,385343;;;;;
0,000573;0,385831;0,385258;;;;;
0,014132;0,399286;0,385154;;;;;
0,00194;0,386686;0,384746;;;;;
